ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000122,Female,Non-Single,41,University,166933,Self-Employed,Large
100000123,Male,Single,24,Other,66118,Unemployed,Small
100000124,Male,Single,63,University,135754,Employee,Small
100000125,Female,Non-Single,27,High School,116103,Employee,Large
100000126,Male,Single,30,Other,104293,Employee,Medium
100000127,Male,Non-Single,40,High School,71702,Unemployed,Small
100000128,Male,Single,30,Other,99066,Employee,Large
100000129,Male,Single,34,High School,143979,Self-Employed,Large
100000130,Female,Non-Single,29,High School,123818,Employee,Small
100000131,Female,Non-Single,24,High School,176714,Employee,Large
100000132,Male,Single,29,Other,149249,Employee,Large
100000133,Male,Single,27,Other,77535,Unemployed,Small
100000134,Male,Single,47,High School,116540,Employee,Medium
100000135,Female,Non-Single,21,High School,194728,Employee,Small
100000136,Female,Non-Single,38,High School,109311,Employee,Large
100000137,Male,Single,27,Other,204723,Employee,Large
100000138,Male,Single,66,University,126003,Unemployed,Small
100000139,Male,Single,35,High School,123109,Employee,Medium
100000140,Female,Non-Single,44,University,108251,Unemployed,Small
100000141,Male,Non-Single,27,High School,89908,Unemployed,Small
100000142,Female,Non-Single,30,High School,176057,Self-Employed,Medium
100000143,Male,Single,27,Other,144332,Self-Employed,Large
100000144,Male,Single,22,Other,101185,Employee,Medium
100000145,Female,Non-Single,23,High School,107406,Employee,Large
100000146,Male,Single,30,Other,140665,Employee,Medium
100000147,Female,Non-Single,39,University,106461,Employee,Small
100000148,Female,Non-Single,51,University,127825,Employee,Small
100000149,Male,Single,28,Other,133898,Employee,Medium
100000150,Male,Single,46,High School,152383,Employee,Large
100000151,Male,Single,42,High School,119926,Employee,Small
100000152,Male,Single,38,High School,108784,Employee,Large
100000153,Male,Single,24,Other,153286,Employee,Medium
100000154,Female,Non-Single,29,High School,214204,Employee,Large
100000155,Male,Single,36,High School,208101,Self-Employed,Large
100000156,Female,Non-Single,20,High School,95355,Employee,Medium
100000157,Male,Single,48,High School,124156,Employee,Medium
100000158,Male,Non-Single,45,University,72215,Unemployed,Small
100000159,Male,Single,38,High School,146529,Employee,Large
100000160,Male,Single,34,High School,75343,Unemployed,Small
100000161,Male,Single,36,High School,129789,Employee,Medium
100000162,Female,Non-Single,30,High School,101153,Employee,Medium
100000163,Male,Single,36,High School,127833,Employee,Large
100000164,Male,Single,70,University,224998,Self-Employed,Large
100000165,Male,Single,36,High School,124445,Employee,Large
100000166,Male,Single,32,Other,141116,Employee,Medium
100000167,Female,Non-Single,33,High School,104276,Employee,Large
100000168,Female,Non-Single,20,High School,147687,Employee,Large
100000169,Female,Non-Single,25,High School,125168,Employee,Medium
100000170,Male,Non-Single,31,High School,115369,Employee,Large
100000171,Male,Single,33,High School,95445,Employee,Small
100000172,Female,Non-Single,26,High School,95159,Employee,Medium
100000173,Female,Non-Single,34,High School,153031,Self-Employed,Large
100000174,Male,Single,33,High School,108899,Employee,Small
100000175,Male,Single,26,Other,113515,Employee,Medium
100000176,Female,Non-Single,53,University,211229,Self-Employed,Small
100000177,Male,Non-Single,42,University,121307,Employee,Small
100000178,Male,Single,52,High School,131727,Employee,Large
100000179,Male,Single,31,Other,133574,Self-Employed,Medium
100000180,Male,Single,65,University,117334,Employee,Small
100000181,Male,Non-Single,28,High School,177291,Employee,Large
100000182,Male,Non-Single,30,High School,168763,Self-Employed,Medium
100000183,Male,Single,40,High School,77720,Unemployed,Small
100000184,Male,Single,50,High School,176645,Employee,Large
100000185,Male,Single,36,High School,106205,Employee,Medium
100000186,Male,Single,31,Other,97785,Employee,Medium
100000187,Female,Non-Single,74,Graduate School,214364,Self-Employed,Medium
100000188,Male,Single,68,University,74525,Unemployed,Small
100000189,Male,Non-Single,20,High School,98988,Employee,Small
100000190,Female,Non-Single,33,High School,133561,Employee,Medium
100000191,Male,Single,54,High School,217651,Self-Employed,Large
100000192,Male,Single,34,High School,116525,Unemployed,Small
100000193,Male,Single,36,High School,135302,Employee,Large
100000194,Male,Non-Single,29,High School,106434,Employee,Medium
100000195,Male,Single,21,Other,128350,Employee,Large
100000196,Female,Non-Single,34,High School,147626,Self-Employed,Large
100000197,Female,Non-Single,28,High School,102697,Employee,Small
100000198,Female,Non-Single,27,High School,120262,Employee,Small
100000199,Male,Single,36,High School,124214,Employee,Large
100000200,Male,Non-Single,40,High School,175223,Self-Employed,Medium
100000201,Male,Single,52,High School,137467,Employee,Small
100000202,Male,Non-Single,27,High School,65815,Unemployed,Small
100000203,Male,Single,26,Other,129864,Employee,Medium
100000204,Male,Non-Single,21,High School,88475,Employee,Medium
100000205,Male,Single,38,High School,74666,Unemployed,Small
100000206,Male,Single,38,High School,222294,Self-Employed,Large
100000207,Male,Single,43,High School,112878,Employee,Small
100000208,Male,Single,26,Other,103411,Employee,Large
100000209,Male,Non-Single,21,High School,112868,Unemployed,Small
100000210,Male,Single,55,High School,157940,Employee,Large
100000211,Male,Single,33,High School,115835,Employee,Large
100000212,Female,Non-Single,45,University,109807,Unemployed,Small
100000213,Male,Single,50,High School,150699,Employee,Medium
100000214,Male,Single,66,University,178967,Self-Employed,Small
100000215,Male,Single,51,High School,132767,Employee,Small
100000216,Female,Non-Single,39,University,86152,Unemployed,Small
100000217,Male,Single,31,Other,114528,Employee,Large
100000218,Male,Single,23,Other,133912,Employee,Medium
100000219,Male,Non-Single,24,High School,81210,Unemployed,Small
100000220,Female,Non-Single,64,Graduate School,131242,Employee,Small
100000221,Male,Non-Single,26,High School,68804,Unemployed,Small
100000222,Female,Non-Single,23,High School,96961,Employee,Medium
100000223,Male,Single,30,Other,90719,Employee,Large
100000224,Male,Single,32,Other,114116,Employee,Medium
100000225,Male,Single,30,Other,128639,Employee,Medium
100000226,Male,Single,27,Other,106623,Employee,Medium
100000227,Male,Single,27,Other,236264,Employee,Medium
100000228,Male,Single,53,High School,207783,Self-Employed,Medium
100000229,Male,Single,22,Other,91739,Employee,Medium
100000230,Male,Single,22,Other,107780,Employee,Large
100000231,Male,Single,26,Other,139157,Employee,Large
100000232,Male,Single,51,High School,121751,Unemployed,Small
100000233,Male,Single,35,High School,121974,Employee,Small
100000234,Male,Non-Single,25,High School,70320,Unemployed,Small
100000235,Male,Single,42,High School,78327,Unemployed,Small
100000236,Male,Single,30,Other,131433,Self-Employed,Small
100000237,Male,Single,23,Other,167076,Unemployed,Large
100000238,Male,Non-Single,61,University,130788,Unemployed,Small
100000239,Female,Non-Single,35,High School,107408,Employee,Medium
100000240,Male,Single,39,High School,115323,Employee,Medium
100000241,Female,Non-Single,29,High School,99012,Employee,Small
100000242,Male,Single,51,High School,115996,Employee,Medium
100000243,Male,Single,24,Other,123353,Employee,Medium
100000244,Female,Non-Single,27,High School,100008,Employee,Small
100000245,Female,Non-Single,35,High School,125105,Unemployed,Small
100000246,Male,Single,25,Other,92020,Employee,Large
100000247,Male,Single,52,High School,108365,Employee,Large
100000248,Male,Single,35,High School,112979,Employee,Small
100000249,Male,Single,26,Other,117221,Employee,Medium
100000250,Female,Non-Single,22,High School,88800,Employee,Large
100000251,Female,Non-Single,39,University,115099,Unemployed,Small
100000252,Female,Non-Single,46,University,113399,Unemployed,Small
100000253,Female,Non-Single,24,High School,115879,Employee,Medium
100000254,Male,Single,35,High School,141270,Employee,Large
100000255,Male,Single,24,Other,107633,Employee,Medium
100000256,Male,Single,27,Other,131751,Unemployed,Small
100000257,Male,Single,35,High School,83687,Unemployed,Small
100000258,Male,Non-Single,29,High School,106828,Employee,Large
100000259,Female,Non-Single,23,High School,135537,Employee,Medium
100000260,Female,Non-Single,57,University,107142,Unemployed,Small
100000261,Male,Single,27,Other,97446,Employee,Medium
100000262,Female,Non-Single,55,University,126357,Employee,Large
100000263,Male,Single,36,High School,169617,Self-Employed,Medium
100000264,Female,Non-Single,57,University,108945,Unemployed,Small
100000265,Male,Single,32,Other,67345,Unemployed,Small
100000266,Male,Single,37,High School,106215,Employee,Small
100000267,Male,Single,36,High School,149237,Employee,Small
100000268,Female,Non-Single,38,High School,112124,Employee,Small
100000269,Male,Non-Single,45,University,215150,Self-Employed,Large
100000270,Male,Single,25,Other,89534,Employee,Medium
100000271,Male,Single,32,Other,111082,Employee,Large
100000272,Female,Non-Single,37,High School,137069,Employee,Medium
100000273,Male,Single,36,High School,244541,Self-Employed,Large
100000274,Male,Single,28,Other,120712,Employee,Medium
100000275,Male,Non-Single,34,High School,175367,Unemployed,Small
100000276,Male,Single,32,Other,111418,Employee,Medium
100000277,Female,Non-Single,26,High School,110913,Employee,Small
100000278,Male,Non-Single,49,University,84267,Unemployed,Small
100000279,Female,Non-Single,32,High School,136886,Employee,Large
100000280,Male,Single,29,Other,144884,Self-Employed,Large
100000281,Male,Single,23,Other,151180,Employee,Medium
100000282,Male,Single,50,High School,114997,Employee,Medium
100000283,Male,Single,49,High School,100961,Unemployed,Small
100000284,Male,Single,63,University,124849,Employee,Large
100000285,Male,Non-Single,37,High School,152308,Employee,Large
100000286,Female,Non-Single,35,High School,167945,Unemployed,Medium
100000287,Male,Single,26,Other,126706,Employee,Large
100000288,Male,Single,31,Other,210017,Self-Employed,Large
100000289,Female,Non-Single,49,University,125665,Employee,Medium
100000290,Male,Non-Single,48,University,111184,Employee,Medium
100000291,Male,Non-Single,26,High School,94134,Employee,Small
100000292,Male,Non-Single,28,High School,214620,Self-Employed,Medium
100000293,Female,Non-Single,44,University,193816,Self-Employed,Medium
100000294,Male,Single,56,High School,168714,Employee,Medium
100000295,Male,Non-Single,46,University,202997,Self-Employed,Medium
100000296,Female,Non-Single,26,High School,192451,Employee,Large
100000297,Female,Non-Single,20,High School,127928,Employee,Large
100000298,Male,Single,45,High School,78253,Unemployed,Small
100000299,Male,Single,43,High School,118446,Employee,Medium
100000300,Male,Single,32,Other,161379,Employee,Large
100000301,Female,Non-Single,54,University,56622,Unemployed,Small
100000302,Female,Non-Single,42,University,146117,Employee,Medium
100000303,Male,Single,37,High School,90418,Unemployed,Small
100000304,Male,Single,49,High School,109053,Employee,Small
100000305,Male,Single,44,High School,219319,Employee,Small
100000306,Male,Non-Single,33,High School,144701,Employee,Medium
100000307,Female,Non-Single,24,High School,102425,Unemployed,Small
100000308,Male,Non-Single,33,High School,79867,Unemployed,Small
100000309,Female,Non-Single,24,High School,107114,Employee,Large
100000310,Male,Non-Single,22,High School,62263,Unemployed,Small
100000311,Male,Single,40,High School,92567,Unemployed,Small
100000312,Male,Single,25,Other,146349,Employee,Small
100000313,Female,Non-Single,26,High School,141825,Employee,Medium
100000314,Male,Non-Single,25,High School,68582,Unemployed,Small
100000315,Male,Single,29,Other,85476,Unemployed,Small
100000316,Male,Single,31,Other,111091,Employee,Large
100000317,Male,Single,38,High School,67110,Unemployed,Small
100000318,Female,Non-Single,48,University,126154,Unemployed,Small
100000319,Male,Single,32,Other,92257,Employee,Large
100000320,Female,Non-Single,27,High School,93605,Unemployed,Small
100000321,Male,Non-Single,28,High School,165190,Self-Employed,Small
100000322,Male,Non-Single,32,High School,107195,Employee,Small
100000323,Male,Single,34,High School,145059,Self-Employed,Small
100000324,Male,Single,28,Other,148363,Employee,Small
100000325,Female,Non-Single,36,High School,105681,Employee,Large
100000326,Male,Single,39,High School,93732,Unemployed,Small
100000327,Male,Single,49,High School,154778,Employee,Large
100000328,Female,Non-Single,34,High School,149356,Employee,Large
100000329,Male,Single,31,Other,145670,Employee,Medium
100000330,Male,Single,28,Other,101589,Employee,Large
100000331,Male,Single,75,University,213333,Self-Employed,Medium
100000332,Female,Non-Single,30,High School,122420,Employee,Small
100000333,Female,Non-Single,24,High School,209856,Self-Employed,Medium
100000334,Female,Non-Single,24,High School,181003,Unemployed,Small
100000335,Male,Single,23,Other,117804,Employee,Medium
100000336,Male,Non-Single,44,University,160650,Self-Employed,Medium
100000337,Female,Non-Single,23,High School,84611,Unemployed,Small
100000338,Female,Non-Single,24,High School,98479,Employee,Large
100000339,Male,Single,28,Other,122359,Employee,Large
100000340,Male,Non-Single,31,High School,81394,Unemployed,Small
100000341,Female,Non-Single,24,High School,150372,Employee,Medium
100000342,Female,Non-Single,26,High School,92385,Unemployed,Small
100000343,Male,Non-Single,25,High School,149851,Employee,Large
100000344,Male,Single,33,High School,167939,Self-Employed,Medium
100000345,Male,Single,37,High School,115426,Unemployed,Small
100000346,Female,Non-Single,43,University,85402,Unemployed,Small
100000347,Male,Single,23,Other,95815,Employee,Large
100000348,Female,Non-Single,23,High School,97518,Unemployed,Small
100000349,Male,Single,34,High School,87355,Unemployed,Small
100000350,Male,Single,32,Other,145933,Employee,Medium
100000351,Female,Non-Single,23,High School,97307,Employee,Small
100000352,Female,Non-Single,29,High School,108434,Employee,Large
100000353,Male,Single,38,High School,151312,Self-Employed,Medium
100000354,Male,Single,28,Other,141847,Employee,Medium
100000355,Male,Single,46,High School,130675,Employee,Large
100000356,Male,Single,23,Other,69309,Unemployed,Small
100000357,Male,Single,49,High School,121466,Employee,Large
100000358,Male,Single,26,Other,153586,Self-Employed,Large
100000359,Male,Non-Single,28,High School,92849,Employee,Small
100000360,Female,Non-Single,23,High School,108539,Employee,Large
100000361,Male,Single,61,University,129556,Employee,Large
100000362,Male,Single,37,High School,170146,Self-Employed,Small
100000363,Female,Non-Single,36,High School,135383,Employee,Medium
100000364,Male,Non-Single,21,High School,96769,Employee,Large
100000365,Male,Single,25,Other,43684,Unemployed,Small
100000366,Male,Single,36,High School,103521,Employee,Small
100000367,Male,Single,27,Other,118499,Employee,Medium
100000368,Female,Non-Single,22,High School,119684,Employee,Large
100000369,Male,Single,42,High School,126586,Employee,Medium
100000370,Female,Non-Single,40,University,136812,Employee,Large
100000371,Male,Single,36,High School,118277,Employee,Medium
100000372,Male,Single,33,High School,144597,Employee,Medium
100000373,Female,Non-Single,23,High School,106043,Employee,Small
100000374,Male,Single,63,University,272314,Self-Employed,Large
100000375,Female,Non-Single,60,University,309364,Self-Employed,Large
100000376,Female,Non-Single,37,High School,170386,Employee,Medium
100000377,Male,Non-Single,34,High School,112458,Employee,Small
100000378,Male,Single,36,High School,96840,Employee,Medium
100000379,Male,Single,57,University,281923,Self-Employed,Medium
100000380,Female,Non-Single,52,University,95551,Unemployed,Small
100000381,Male,Single,39,High School,112347,Employee,Large
100000382,Female,Non-Single,38,High School,260977,Self-Employed,Large
100000383,Female,Non-Single,25,High School,99354,Employee,Small
100000384,Male,Single,26,Other,111509,Employee,Large
100000385,Male,Single,26,Other,105252,Unemployed,Small
100000386,Female,Non-Single,25,High School,108522,Employee,Small
100000387,Female,Non-Single,21,High School,94655,Employee,Medium
100000388,Male,Single,40,High School,201699,Self-Employed,Medium
100000389,Male,Single,27,Other,139868,Employee,Large
100000390,Female,Non-Single,27,High School,102543,Employee,Medium
100000391,Male,Non-Single,30,High School,134467,Self-Employed,Large
100000392,Female,Non-Single,19,High School,111187,Unemployed,Small
100000393,Male,Single,39,High School,152302,Self-Employed,Medium
100000394,Female,Non-Single,31,High School,110610,Employee,Large
100000395,Male,Single,31,Other,137827,Self-Employed,Large
100000396,Male,Single,32,Other,220923,Employee,Large
100000397,Female,Non-Single,55,University,165717,Self-Employed,Large
100000398,Male,Non-Single,46,University,122299,Employee,Small
100000399,Male,Non-Single,46,University,120499,Employee,Small
100000400,Female,Non-Single,43,University,126449,Unemployed,Small
100000401,Male,Non-Single,39,High School,108315,Employee,Large
100000402,Male,Non-Single,28,High School,112515,Employee,Medium
100000403,Male,Single,27,Other,164559,Employee,Medium
100000404,Male,Single,27,Other,59238,Unemployed,Small
100000405,Male,Single,43,High School,131133,Employee,Small
100000406,Male,Non-Single,22,High School,109188,Employee,Small
100000407,Male,Single,43,High School,115393,Employee,Medium
100000408,Male,Non-Single,27,High School,94711,Employee,Large
100000409,Male,Non-Single,26,High School,171860,Self-Employed,Small
100000410,Male,Non-Single,28,High School,139414,Employee,Large
100000411,Female,Non-Single,20,High School,110931,Employee,Medium
100000412,Male,Single,35,High School,187549,Self-Employed,Large
100000413,Male,Single,42,High School,145508,Self-Employed,Small
100000414,Male,Single,40,High School,104240,Unemployed,Small
100000415,Female,Non-Single,35,High School,108272,Employee,Medium
100000416,Male,Single,35,High School,144004,Employee,Large
100000417,Male,Single,33,High School,81083,Unemployed,Small
100000418,Female,Non-Single,23,High School,166763,Employee,Medium
100000419,Female,Non-Single,31,High School,175530,Self-Employed,Medium
100000420,Female,Non-Single,33,High School,112422,Employee,Medium
100000421,Female,Non-Single,20,High School,154134,Employee,Large
100000422,Male,Single,30,Other,112401,Employee,Medium
100000423,Male,Single,47,High School,85690,Unemployed,Small
100000424,Male,Single,34,High School,145896,Self-Employed,Large
100000425,Female,Non-Single,25,High School,122552,Employee,Large
100000426,Male,Non-Single,21,High School,115494,Employee,Large
100000427,Male,Single,29,Other,109467,Employee,Small
100000428,Male,Single,46,High School,148226,Employee,Large
100000429,Male,Single,20,Other,88559,Employee,Medium
100000430,Female,Non-Single,55,University,62393,Unemployed,Small
100000431,Male,Single,74,University,122133,Unemployed,Small
100000432,Male,Single,29,Other,230883,Self-Employed,Large
100000433,Male,Single,36,High School,136689,Self-Employed,Large
100000434,Male,Non-Single,33,High School,109145,Employee,Small
100000435,Male,Single,25,Other,100449,Employee,Large
100000436,Male,Non-Single,25,High School,106253,Employee,Small
100000437,Male,Non-Single,23,High School,84747,Unemployed,Small
100000438,Female,Non-Single,37,High School,149465,Employee,Medium
100000439,Male,Single,65,University,84435,Unemployed,Small
100000440,Female,Non-Single,26,High School,51681,Unemployed,Small
100000441,Male,Single,39,High School,139198,Self-Employed,Medium
100000442,Female,Non-Single,30,High School,106577,Employee,Medium
100000443,Male,Single,29,Other,117372,Employee,Large
100000444,Male,Single,41,High School,69609,Unemployed,Small
100000445,Female,Non-Single,30,High School,178947,Self-Employed,Large
100000446,Female,Non-Single,41,University,81743,Unemployed,Small
100000447,Female,Non-Single,34,High School,111900,Employee,Medium
100000448,Male,Single,35,High School,121650,Employee,Small
100000449,Female,Non-Single,55,University,172639,Self-Employed,Large
100000450,Male,Non-Single,61,University,175740,Employee,Medium
100000451,Male,Single,30,Other,220050,Self-Employed,Large
100000452,Female,Non-Single,29,High School,95200,Employee,Medium
100000453,Male,Single,34,High School,113609,Employee,Medium
100000454,Male,Single,35,High School,143552,Self-Employed,Large
100000455,Male,Single,31,Other,130973,Employee,Large
100000456,Female,Non-Single,29,High School,145946,Self-Employed,Large
100000457,Male,Single,36,High School,126206,Employee,Medium
100000458,Male,Single,35,High School,120426,Employee,Small
100000459,Female,Non-Single,27,High School,91925,Employee,Large
100000460,Male,Single,32,Other,129630,Employee,Large
100000461,Male,Single,37,High School,124268,Employee,Large
100000462,Male,Single,36,High School,105240,Employee,Medium
100000463,Female,Non-Single,34,High School,162180,Self-Employed,Small
100000464,Male,Single,38,High School,106552,Employee,Large
100000465,Male,Single,34,High School,105843,Employee,Large
100000466,Male,Single,63,University,138327,Employee,Medium
100000467,Female,Non-Single,29,High School,76154,Unemployed,Small
100000468,Male,Single,32,Other,155012,Employee,Medium
100000469,Female,Non-Single,26,High School,114369,Employee,Medium
100000470,Male,Single,35,High School,102839,Unemployed,Small
100000471,Male,Non-Single,22,High School,132796,Employee,Small
100000472,Female,Non-Single,23,High School,89742,Employee,Large
100000473,Male,Single,28,Other,58615,Unemployed,Small
100000474,Male,Single,36,High School,130603,Self-Employed,Large
100000475,Male,Non-Single,33,High School,110340,Employee,Small
100000476,Female,Non-Single,26,High School,117729,Employee,Large
100000477,Male,Single,24,Other,130808,Employee,Small
100000478,Male,Single,25,Other,147402,Employee,Large
100000479,Male,Single,39,High School,93567,Unemployed,Small
100000480,Male,Single,44,High School,109289,Employee,Medium
100000481,Female,Non-Single,23,High School,98742,Unemployed,Small
100000482,Male,Single,26,Other,101270,Employee,Small
100000483,Female,Non-Single,57,University,187835,Employee,Medium
100000484,Female,Non-Single,30,High School,140741,Employee,Small
100000485,Male,Single,44,High School,133265,Employee,Large
100000486,Male,Single,47,High School,148100,Self-Employed,Large
100000487,Male,Single,52,High School,131021,Employee,Large
100000488,Female,Non-Single,62,University,152620,Employee,Large
100000489,Male,Single,35,High School,85033,Unemployed,Small
100000490,Male,Single,26,Other,114514,Employee,Medium
100000491,Male,Single,26,Other,99307,Employee,Medium
100000492,Female,Non-Single,42,University,219451,Self-Employed,Large
100000493,Female,Non-Single,27,High School,114007,Employee,Small
100000494,Male,Single,38,High School,102846,Employee,Small
100000495,Male,Single,39,High School,81483,Unemployed,Small
100000496,Male,Non-Single,20,High School,107779,Employee,Large
100000497,Male,Single,29,Other,222360,Self-Employed,Large
100000498,Male,Single,40,High School,107125,Employee,Small
100000499,Male,Non-Single,32,High School,80080,Unemployed,Small
100000500,Male,Non-Single,28,High School,129600,Employee,Small
100000501,Female,Non-Single,27,High School,118613,Employee,Medium
100000502,Male,Single,42,High School,146237,Employee,Medium
100000503,Male,Non-Single,49,University,144461,Employee,Large
100000504,Male,Single,38,High School,124487,Employee,Small
100000505,Female,Non-Single,24,High School,97826,Employee,Small
100000506,Male,Single,27,Other,64105,Unemployed,Small
100000507,Male,Single,36,High School,156374,Employee,Large
